Nürburgring,Nurb_GP_2020,Nürburgring GP 2020,15,5140,Grade 1,5.14,48,Circuit
Nürburgring,Nurb_GP_2020_Veedol,Nürburgring Veedol 2020,15,5130,Grade 1,5.13,48,Circuit
Nürburgring,Nurb_GP_2020_Sprint,Nürburgring Sprint 2020,11,3620,Grade 3,3.62,48,Circuit
Nürburgring,Nurb_GP_2020_Sprint_S,Nürburgring Sprint S 2020,11,3050,Grade 3,3.05,30,Circuit
Nürburgring,Nurb_1971_Gesamt,Gesamtstrecke Historic 1971,187,28260,Historic,28.26,32,Circuit
Nürburgring,Nurb_1971_Nords,Nordschleife Historic 1971,160,22830,Historic,22.83,32,Circuit
Nürburgring,Nurb_1971_Suds,Südschleife Historic 1971,27,7740,Historic,7.74,32,Circuit
Ortona,Ortona,Ortona Kart One,16,1500,Kart,1.5,30,Kart
Ortona,Ortona2,Ortona Kart TWo,20,1550,Kart,1.55,30,Kart
Ortona,Ortona3,Ortona Kart Three,17,1330,Kart,1.33,30,Kart
Ortona,Ortona4,Ortona Kart Four,13,960,Kart,0.96,30,Kart
Oulton Park,OultonPark,Oulton Park International,17,4330,Grade 3,4.33,28,Circuit
Oulton Park,OultonParkIsland,Oulton Park Island,12,3630,Grade 4,3.63,28,Circuit
Oulton Park,OultonParkFosters,Oulton Park Fosters,9,2660,Grade 4,2.66,28,Circuit
Oulton Park,OultonParkClassic,Oulton Park Classic,12,4290,Grade 3,4.29,28,Circuit
Road America,Road_America,Road America,14,6510,Grade 2,6.51,48,Circuit
Road America,Road_America_RCB,Road America (Bend),14,6510,Grade 2,6.51,48,Circuit
Road America,Road_America_STT,Road America STT,14,6510,Grade 2,6.51,20,Circuit
Road Atlanta,Road_Atlanta,Road Atlanta,12,4080,Grade 2,4.08,48,Circuit
Road Atlanta,road_atlanta_2005,Road Atlanta Historic 2005,12,4080,Grade 2,4.08,48,Circuit
Road Atlanta,road_atlanta_2005_short,Road Atlanta Historic 2005 Short,9,2580,Grade 2,2.58,48,Circuit
Road Atlanta,Road_Atlanta_Moto,Road Atlanta Moto,12,4100,Grade 2,4.1,32,Circuit
Salvador,salvador,Salvador Street Circuit,10,2720,Temporary,2.72,34,Circuit
Santa Cruz,santacruz,Santa Cruz do Sul,14,3320,Grade 4,3.32,48,Circuit
Sebring,Sebring,Sebring,17,5850,Grade 2,5.85,48,Circuit
Sebring,sebring,Sebring School,9,3210,Grade 2,3.21,32,Circuit
Sebring,Sebring_Club,Sebring Club,13,2730,Grade 2,2.73,32,Circuit
Sebring,Sebring_STT,Sebring STT,9,3210,Grade 2,3.21,20,Circuit
Silverstone,Silverstone_2019,Silverstone,18,5890,Grade 1,5.89,48,Circuit
Silverstone,Silverstone_Intl_2019,Silverstone International,9,2970,Grade 2,2.97,32,Circuit
Silverstone,Silverstone_Natl_2019,Silverstone National,5,2630,Grade 3,2.63,36,Circuit
Silverstone,Silverstone_2001,Silverstone Historic 2001,16,5140,Historic,5.14,36,Circuit
Silverstone,Silverstone_Intl_2001,Silverstone International Historic 2001,10,3610,Historic,3.61,36,Circuit
Silverstone,Silverstone_Natl_2001,Silverstone National Historic 2001,5,2630,Historic,2.63,36,Circuit
Silverstone,silverstone_1991,Silverstone Historic 1991,17,5220,Historic,5.22,36,Circuit
Silverstone,Silverstone_1975,Silverstone Historic 1975,10,4710,Historic,4.71,36,Circuit
Silverstone,Silverstone_1975nc,Silverstone Historic 1975 (no chicane),8,4710,Historic,4.71,36,Circuit
Snetterton,Snetterton2019_300,Snetterton 300,12,4780,Grade 2,4.78,26,Circuit
Snetterton,Snetterton2019_200,Snetterton 200,8,3220,Grade 2,3.22,26,Circuit
Snetterton,Snetterton2019_100,Snetterton 100,6,1580,Grade 4,1.58,26,Circuit
Spa-Francorchamps,Spa-Francorchamps_2022,Spa-Francorchamps 2022,20,7000,Grade 1,7,48,Circuit
Spa-Francorchamps,Spa-Francorchamps_2020,Spa-Francorchamps 2020,20,7000,Grade 1,7,48,Circuit
Spa-Francorchamps,Spa-francorchamps_2022_RX,Spa-Francorchamps RX,5,890,Rallycross,0.89,8,Circuit
Spa-Francorchamps,spa-francorchamps_1993,Spa-Francorchamps Historic 1993,23,6940,Historic,6.94,30,Circuit
Spa-Francorchamps,Spa-francorchamps_1970,Spa-Francorchamps Historic 1970,21,14120,Historic,14.12,32,Circuit
Spa-Francorchamps,Spa-francorchamps_1970_NC,Spa-Francorchamps Historic 1970 1000KM,21,14120,Historic,14.12,32,Circuit
Spa-Francorchamps,spa-francorchamps_2005_ec,Spa-Francorchamps Historic 2005 Endurance,24,6970,Grade 1,6.97,48,Circuit
Spa-Francorchamps,spa-francorchamps_2005,Spa-Francorchamps Historic 2005,24,6970,Grade 1,6.97,48,Circuit
Speedland,Speedland1,Speedland Kart 1,29,960,Kart,0.96,14,Kart
Speedland,Speedland2,Speedland Kart 2,30,980,Kart,0.98,14,Kart
Speedland,Speedland3,Speedland Kart 2,15,430,Kart,0.43,14,Kart
Speedland,Speedland4,Speedland Kart 4,12,580,Kart,0.58,14,Kart
Spielberg,Spielberg_Modern,Spielberg,10,4310,Grade 1,4.31,32,Circuit
Spielberg,Spielberg_Short,Spielberg Short,6,2330,Grade 3,2.33,32,Circuit
Spielberg,Spielberg_STT,Spielberg STT,6,2330,Grade 3,2.33,20,Circuit
Spielberg,Spielberg_Vintage,Spielberg Historic 1974,9,5890,Historic,5.89,26,Circuit
Tarumã,Taruma,Tarumã Internacional,9,3010,Grade 4,3.01,32,Circuit
Tarumã,TarumaC,Tarumã Chicane,11,3070,Grade 3,3.07,32,Circuit
Termas de Río Hondo,termas_rio_hondo,Termas de Río Hondo,14,4800,Grade 2,4.8,48,Circuit
Tykki,Tykki_RX,Tykki RX,11,1010,Rallycross,1.01,8,Rallycross
Tykki,Tykki_Tarmac,Tykki Tarmac,7,750,Off-road,0.75,16,Circuit
Tykki,Tykki_Dirt1,Tykki Dirt 1,8,910,Off-road,0.91,16,Rallycross
Tykki,Tykki_Dirt2,Tykki Dirt 2,14,1680,Off-road,1.68,16,Rallycross
Velo Città,Velocitta,Velo Città,15,3320,Grade 3,3.32,34,Circuit
Velo Città,VelocittaTD,Velo Città Track Day,16,3360,Grade 3,3.36,34,Circuit
Velo Città,VelocittaCD,Velo Città Club Day,7,1720,Grade 3,1.72,34,Circuit
Velopark,Velopark,Velopark,13,2270,Grade 3,2.27,20,Circuit
Velopark,Velopark2,Velopark 2017,13,2270,Grade 3,2.27,34,Circuit
Velopark,Velopark2_STT,Velopark 2010,10,2150,Grade 3,2.15,34,Circuit
Virginia,VirginiaFull,VIRginia International Raceway Full,18,5260,Grade 2,5.26,48,Circuit
Virginia,VirginiaGrand,VIRginia International Raceway Grand,24,6750,Grade 3,6.75,28,Circuit
Virginia,VirginiaNorth,VIRginia International Raceway North,14,3620,Grade 3,3.62,48,Circuit
Virginia,VirginiaSouth,VIRginia International Raceway South,9,2650,Grade 3,2.65,26,Circuit
Virginia,VirginiaPatriot,VIRginia International Raceway Patriot,13,1770,Grade 4,1.77,26,Circuit
Watkins Glen,Watkins_Glen,Watkins Glen GP,18,5260,Grade 2,5.26,48,Circuit
Watkins Glen,Watkins_Glen_GPIL,Watkins Glen GP (Inner Loop),15,5550,Grade 2,5.55,48,Circuit
Watkins Glen,Watkins_Glen_S,Watkins Glen Short,7,3900,Grade 2,3.9,48,Circuit
Watkins Glen,Watkins_Glen_SIL,Watkins Glen Short (Inner Loop),11,3940,Grade 2,3.94,48,Circuit
Watkins Glen,Watkins_Glen_STT,Watkins Glen STT,11,3940,Grade 2,3.94,20,Circuit
